game_id,home_team,away_team,play_id,drive_id,drive_start_time,quarter,down,distance,field_position,offense,defense,play_type,ball_carrier,targeted_receiver,pass_result,yards_gained,is_td,is_sack,is_fumble,fumble_recovered_by,is_penalty,penalty_team,penalty_type,penalty_player,penalty_yards,fg_result,tackler_1,tackler_2,raw_text
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,1,0,,1,,,,Foothill,Monterey Peninsula,kickoff,Conner Cook,,,65,False,False,False,,False,,,,,,,,"Conner Cook kickoff 65 yards to the MONTEREY00, Julius Escort return 17 yards to the MONTEREY17 (Tajir Golden)."
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,2,1,14:54,1,1,10,MONTEREY17,Monterey Peninsula,Foothill,pass,Manuel Simon Lo,Julius Robinson,incomplete,0,False,False,False,,False,,,,,,Jamison Starks,,Manuel Simon Lo pass incomplete to Julius Robinson (Jamison Starks).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,3,1,14:54,1,2,10,MONTEREY17,Monterey Peninsula,Foothill,rush,Manuel Simon Lo,,,57,False,False,False,,False,,,,,,,,"Manuel Simon Lo rush for 57 yards to the FOOTHILL26, out-of-bounds."
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,4,1,14:54,1,1,10,FOOTHILL26,Monterey Peninsula,Foothill,rush,David Roberts,,,1,False,False,False,,False,,,,,,Aaron Davis-Bec,Roland Foliaki,David Roberts rush for 1 yard to the FOOTHILL25 (Aaron Davis-Bec; Roland Foliaki).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,5,1,14:54,1,2,9,FOOTHILL25,Monterey Peninsula,Foothill,pass,Manuel Simon Lo,Jesus Maciel,incomplete,0,False,False,False,,False,,,,,,,,Manuel Simon Lo pass incomplete to Jesus Maciel.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,6,1,14:54,1,3,9,FOOTHILL25,Monterey Peninsula,Foothill,pass,Manuel Simon Lo,Rogdryk Guillor,complete,0,False,False,False,,False,,,,,,Kevin Cunningha,,Manuel Simon Lo pass complete to Rogdryk Guillor for no gain to the FOOTHILL25 (Kevin Cunningha).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,7,1,14:54,1,4,9,FOOTHILL25,Monterey Peninsula,Foothill,field_goal,Joseph Fernande,,,,False,False,False,,False,,,,,missed,,,"Joseph Fernande field goal attempt from 43 MISSED - wide right, spot at FOOTHILL25."
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,8,2,12:25,1,1,10,FOOTHILL25,Foothill,Monterey Peninsula,rush,Nate Williams,,,0,False,False,False,,False,,,,,,Kyler Tweten,Ethan Wiley,Nate Williams rush for no gain to the FOOTHILL25 (Kyler Tweten; Ethan Wiley).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,9,2,12:25,1,2,10,FOOTHILL25,Foothill,Monterey Peninsula,pass,James Maxwell,Alando Barnett,complete,0,False,False,False,,False,,,,,,Que James,,James Maxwell pass complete to Alando Barnett for no gain to the FOOTHILL25 (Que James).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,10,2,12:25,1,3,10,FOOTHILL25,Foothill,Monterey Peninsula,pass,James Maxwell,Nate Williams,complete,11,False,False,False,,False,,,,,,Drew Molinari,Trevohn Ferguso,James Maxwell pass complete to Nate Williams for 11 yards to the FOOTHILL36 (Drew Molinari; Trevohn Ferguso).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,11,2,12:25,1,1,10,FOOTHILL36,Foothill,Monterey Peninsula,penalty,,,,,False,False,False,,True,MONTEREY,offside,Broderick Johns,5,,,,PENALTY MONTEREY offside (Broderick Johns) 5 yards to the FOOTHILL41.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,12,2,12:25,1,1,5,FOOTHILL41,Foothill,Monterey Peninsula,pass,James Maxwell,Boxer Kopcsak-Y,complete,-3,False,False,False,,False,,,,,,Que James,,James Maxwell pass complete to Boxer Kopcsak-Y for loss of 3 yards to the FOOTHILL38 (Que James).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,13,2,12:25,1,2,8,FOOTHILL38,Foothill,Monterey Peninsula,penalty,,,,,False,False,False,,True,FOOTHILL,illegal formation,Jeff Gamboa,5,,,,PENALTY FOOTHILL illegal formation (Jeff Gamboa) 5 yards to the FOOTHILL33.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,14,2,12:25,1,2,13,FOOTHILL33,Foothill,Monterey Peninsula,penalty,,,,,False,False,False,,True,FOOTHILL,illegal formation,Alando Barnett,5,,,,PENALTY FOOTHILL illegal formation (Alando Barnett) 5 yards to the FOOTHILL28.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,15,2,12:25,1,2,18,FOOTHILL28,Foothill,Monterey Peninsula,rush,James Maxwell,,,0,False,False,False,,False,,,,,,,,"James Maxwell rush for no gain to the FOOTHILL28 (Que James), out-of-bounds."
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,16,2,12:25,1,3,18,FOOTHILL28,Foothill,Monterey Peninsula,penalty,,,,,False,False,False,,True,FOOTHILL,delay of game,James Maxwell,4,,,,PENALTY FOOTHILL delay of game (James Maxwell) 4 yards to the FOOTHILL24.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,17,2,12:25,1,3,22,FOOTHILL24,Foothill,Monterey Peninsula,pass,James Maxwell,Alando Barnett,complete,14,False,False,False,,False,,,,,,Damian Neveaux,,James Maxwell pass complete to Alando Barnett for 14 yards to the FOOTHILL38 (Damian Neveaux).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,18,2,12:25,1,4,8,FOOTHILL38,Foothill,Monterey Peninsula,punt,Jordan Rucker,,,35,False,False,False,,False,,,,,,,,"Jordan Rucker punt 35 yards to the MONTEREY27, fair catch by Julius Escort."
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,19,3,06:53,1,1,10,MONTEREY27,Monterey Peninsula,Foothill,rush,David Roberts,,,4,False,False,False,,False,,,,,,Mason Furtato,Douglas Adams,David Roberts rush for 4 yards to the MONTEREY31 (Mason Furtato; Douglas Adams).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,20,3,06:53,1,2,6,MONTEREY31,Monterey Peninsula,Foothill,rush,David Roberts,,,-2,False,False,False,,False,,,,,,Ryan Given,,David Roberts rush for loss of 2 yards to the MONTEREY29 (Ryan Given).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,21,3,06:53,1,3,8,MONTEREY29,Monterey Peninsula,Foothill,pass,Manuel Simon Lo,Julius Robinson,complete,3,False,False,False,,False,,,,,,Akino McGee,Faapaia Fualema,Manuel Simon Lo pass complete to Julius Robinson for 3 yards to the MONTEREY32 (Akino McGee; Faapaia Fualema).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,22,3,06:53,1,4,5,MONTEREY32,Monterey Peninsula,Foothill,punt,Joseph Fernande,,,37,False,False,False,,True,MONTEREY,personal foul,Mark Harris,15,,,,"Joseph Fernande punt 37 yards to the FOOTHILL31, downed, PENALTY MONTEREY personal foul (Mark Harris) 15 yards to the FOOTHILL46."
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,23,4,06:53,1,1,10,FOOTHILL46,Foothill,Monterey Peninsula,rush,James Maxwell,,,3,False,False,False,,False,,,,,,Damian Neveaux,,James Maxwell rush for 3 yards to the FOOTHILL49 (Damian Neveaux).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,24,4,06:53,1,2,7,FOOTHILL49,Foothill,Monterey Peninsula,rush,Nate Williams,,,3,False,False,False,,False,,,,,,Alajawon Whitfi,,Nate Williams rush for 3 yards to the MONTEREY48 (Alajawon Whitfi).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,25,4,06:53,1,3,4,MONTEREY48,Foothill,Monterey Peninsula,penalty,,,,,False,False,False,,True,FOOTHILL,illegal touching,Brody Simison,0,,,,PENALTY FOOTHILL illegal touching (Brody Simison) 0 yards to the MONTEREY48.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,26,4,06:53,1,4,4,MONTEREY48,Foothill,Monterey Peninsula,penalty,,,,,False,False,False,,True,FOOTHILL,delay of game,James Maxwell,5,,,,PENALTY FOOTHILL delay of game (James Maxwell) 5 yards to the FOOTHILL47.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,27,4,06:53,1,4,9,FOOTHILL47,Foothill,Monterey Peninsula,punt,Jordan Rucker,,,38,False,False,False,,False,,,,,,,,"Jordan Rucker punt 38 yards to the MONTEREY15, out-of-bounds."
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,28,5,03:25,1,1,10,MONTEREY15,Monterey Peninsula,Foothill,rush,Manuel Simon Lo,,,1,False,False,False,,False,,,,,,Anelka Okello,Kevin Cunningha,Manuel Simon Lo rush for 1 yard to the MONTEREY16 (Anelka Okello; Kevin Cunningha).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,29,5,03:25,1,2,9,MONTEREY16,Monterey Peninsula,Foothill,penalty,,,,,False,False,False,,True,MONTEREY,illegal formation,Tatum Bentley,5,,,,PENALTY MONTEREY illegal formation (Tatum Bentley) 5 yards to the MONTEREY11.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,30,5,03:25,1,2,14,MONTEREY11,Monterey Peninsula,Foothill,pass,Manuel Simon Lo,,,-2,False,True,False,,False,,,,,,Aaron Davis-Bec,,Manuel Simon Lo sacked for loss of 2 yards to the MONTEREY09 (Aaron Davis-Bec).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,31,5,03:25,1,3,16,MONTEREY09,Monterey Peninsula,Foothill,rush,Enobong Wirth,,,-5,False,False,False,,False,,,,,,Anelka Okello,,Enobong Wirth rush for loss of 5 yards to the MONTEREY04 (Anelka Okello).
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,32,5,03:25,1,4,21,MONTEREY04,Monterey Peninsula,Foothill,penalty,,,,,False,False,False,,True,MONTEREY,illegal formation,Willie Duke,2,,,,PENALTY MONTEREY illegal formation (Willie Duke) 2 yards to the MONTEREY02.
20250830_FOOTHILL_MONTEREY_PENINSULA,Foothill,Monterey Peninsula,33,5,03:25,1,4,23,MONTEREY02,Monterey Peninsula,Foothill,punt,Joseph Fernande,,,34,False,False,False,,False,,,,,,,,"Joseph Fernande punt 34 yards to the MONTEREY36, Boxer Kopcsak-Y return 1 yards to the MONTEREY35 (Damian Neveaux)."
